策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_GMCTS,6239,,1,1.0,0.409467,1247.0
F14_GMCTS,6244,,1,0.0,-0.524625,533.0
F14_GMCTS,6282,,1,1.0,1.757142,1561.0
F14_GMCTS,6415,,1,1.0,2.538674,385.0
F14_GMCTS,8044,,1,0.0,-0.549541,383.0
F14_GMCTS,8046,,2,0.5,0.058725499999999986,939.0
F14_GMCTS,8069,,1,0.0,-0.510772,367.0
F14_GMCTS,9904,,1,1.0,0.070564,931.0
F14_GMCTS,9907,,1,1.0,0.53627,1623.0
F14_MCTS1,1102,,1,1.0,0.406841,1291.0
F14_MCTS1,1104,,1,1.0,1.342916,454.0
F14_MCTS1,1210,,1,1.0,0.81644,1381.0
F14_MCTS1,1313,,1,1.0,0.738305,859.0
F14_MCTS1,1314,,1,1.0,0.190409,1784.0
F14_MCTS1,1409,,1,1.0,0.486266,1065.0
F14_MCTS1,1434,,1,1.0,0.117316,548.0
F14_MCTS1,1440,,1,1.0,0.678582,166.0
F14_MCTS1,1444,,1,1.0,0.32796,684.0
F14_MCTS1,1455,,1,1.0,0.420297,882.0
F14_MCTS1,1503,,1,1.0,0.826639,2460.0
F14_MCTS1,1513,,1,1.0,0.612434,591.0
F14_MCTS1,1710,,1,1.0,0.394674,542.0
F14_MCTS1,1718,,1,1.0,0.318256,1647.0
F14_MCTS1,1722,,1,1.0,0.561515,1234.0
F14_MCTS1,1905,,1,1.0,2.354585,1761.0
F14_MCTS1,1907,,1,1.0,1.160101,1652.0
F14_MCTS1,2002,,1,1.0,0.979353,1954.0
F14_MCTS1,2006,,1,1.0,1.364864,1270.0
F14_MCTS1,2023,,1,1.0,0.522637,861.0
F14_MCTS1,2103,,1,0.0,-0.455159,194.0
F14_MCTS1,2104,,1,1.0,1.487814,1597.0
F14_MCTS1,2208,,1,0.0,-0.207613,729.0
F14_MCTS1,2303,,2,1.0,2.0546965,529.5
F14_MCTS1,2308,,1,1.0,1.017295,757.0
F14_MCTS1,2312,,2,1.0,0.590533,395.5
F14_MCTS1,2317,,1,1.0,1.453019,1062.0
F14_MCTS1,2324,,1,1.0,0.942135,2026.0
F14_MCTS1,2332,,1,0.0,-0.012458,1294.0
F14_MCTS1,2340,,1,1.0,0.933883,969.0
F14_MCTS1,2347,,1,1.0,0.430108,1399.0
F14_MCTS1,2353,,1,0.0,-0.513782,557.0
F14_MCTS1,2356,,1,1.0,1.45707,480.0
F14_MCTS1,2357,,1,1.0,0.965911,451.0
F14_MCTS1,2362,,1,0.0,-0.509403,481.0
F14_MCTS1,2367,,1,1.0,1.741076,1194.0
F14_MCTS1,2368,,1,1.0,0.657569,695.0
F14_MCTS1,2377,,1,1.0,2.372528,726.0
F14_MCTS1,2401,,1,1.0,1.164242,1293.0
F14_MCTS1,2448,,1,0.0,-0.482908,692.0
F14_MCTS1,2454,,1,1.0,2.011135,2003.0
F14_MCTS1,2498,,2,0.0,-0.503093,639.5
F14_MCTS1,2605,,2,0.5,0.24882300000000007,783.5
F14_MCTS1,2607,,1,1.0,0.428023,1268.0
F14_MCTS1,2615,,2,1.0,1.6710335,512.5
F14_MCTS1,2903,,1,1.0,0.281545,1405.0
F14_MCTS1,2905,,1,0.0,-0.199311,382.0
F14_MCTS1,2912,,1,1.0,0.147241,108.0
F14_MCTS1,2913,,1,1.0,0.178361,1437.0
F14_MCTS1,3005,,1,1.0,2.407646,898.0
F14_MCTS1,3037,,2,0.5,0.4359395,635.0
F14_MCTS1,3044,,1,1.0,1.089663,971.0
F14_MCTS1,3231,,1,1.0,0.77106,1506.0
F14_MCTS1,3380,,1,1.0,0.878916,1873.0
F14_MCTS1,3532,,1,1.0,2.182418,904.0
F14_MCTS1,4414,,1,0.0,-0.501333,493.0
